word_id,fr,dendi,phonetique,categorie,niveau,variant_region,source,linguistic_validated,validated_by,audio_status,audio_speaker,audio_file,notes
82,La jambe,Cèekpana,Cèekpana,corps,avance,,,,,,,,
83,Le genou,Cɛnnɛ,Cènne,corps,avance,,,,,,,,
84,Le tibia,Cee-bírí,Cee-biri,corps,avance,,,,,,,,
85,La cheville,Ceè jindè,Cèè jinde,corps,avance,,,,,,,,
86,Le pied,Cee,Cee,corps,avance,,,,,,,,
87,Le talon,Ceè banna,Cèè banna,corps,avance,,,,,,,,
88,Les orteils,Cèeinze yo,Cèeinze yo,corps,avance,,,,,,,,
89,L'ongle,Kòkòbè,Kokobè,corps,avance,,,,,,,,
90,La cuisse,Taala/Taa,Taala,corps,avance,,,,,,,,
91,La hanche,Kòsè-banna,Kosè-banna,corps,avance,,,,,,,,
92,La poitrine,Jèndè,Jènde,corps,avance,,,,,,,,
93,Le ventre,Gundè,Goundè,corps,avance,,,,,,,,
94,La nuque,Kpanna,Kpanna,corps,avance,,,,,,,,
95,Le front,Gòosi,Goosi,corps,avance,,,,,,,,
96,L'os,Biri,Biri,corps,avance,,,,,,,,
97,La chair,gaabaasî,Gaabaasi,corps,avance,,,,,,,,
98,La colonne vertébrale,Banna binni biri,Banna binni biri,corps,avance,,,,,,,,
100,Le poumon,Hinanzobu Foolo/Fuuka,Hinanzobu Foolo,corps,avance,,,,,,,,
101,le pharynx,Hinanzobu Hiinu,Hinanzobu Hiinu,corps,avance,,,,,,,,
102,Le sang,Kpírí,Kpiri,corps,avance,,,,,,,,
103,La salive,Yolo/Yoro,Yolo,corps,avance,,,,,,,,
104,le lombril,fumnè,Foumnè,corps,avance,,,,,,,,
106,La vessie,Toosi Fôolo/Toosi Fôo,Toosi Foolo,corps,avance,,,,,,,,
111,Acheter,Deiyo,Deiyo,verbes,intermediaire,,,,,,,,
112,Manger,ŋwaayo,umwaayo,verbes,intermediaire,,,,,,,,
113,Dormir,Kaniyo,Kaniyo,verbes,intermediaire,,,,,,,,
114,Laver,Hínnuyo,Hinnouyo,verbes,intermediaire,,,,,,,,
115,Parler,Sènnìyo,Sènnìyo,verbes,intermediaire,,,,,,,,
116,Marcher,Dirayo,Dirayo,verbes,intermediaire,,,,,,,,
117,Courir,Zuruyo,Zourouyo,verbes,intermediaire,,,,,,,,
118,Chanter,Dòoniyo,Dooniyo,verbes,intermediaire,,,,,,,,
119,Apprendre,Dendeniyo,Dendéniyo,verbes,intermediaire,,,,,,,,
120,Écrire,Hàntumyo,Hantoumyo,verbes,intermediaire,,,,,,,,
121,Entendre,Mãayo,Maayo,verbes,intermediaire,,,,,,,,
122,Regarder,Gunayo,Gounayo,verbes,intermediaire,,,,,,,,
123,Penser,Làsabuyo,Lasabouyo,verbes,intermediaire,,,,,,,,
124,Sourire,Haaruyo,Haarouyo,verbes,intermediaire,,,,,,,,
125,Pleurer,Heeiniyo,Heeiniyo,verbes,intermediaire,,,,,,,,
126,Boire,Hamyo,Hammyo,verbes,intermediaire,,,,,,,,
127,Vendre,Nèerayo/Nian,Nèèra yo /Nian yo,verbes,intermediaire,,,,,,,,
128,Donner,Noonyô,Noonyô,verbes,intermediaire,,,,,,,,
129,Trouver,Duuyo,Douyô,verbes,intermediaire,,,,,,,,
130,Appeler,Ceyo,chèyo,verbes,intermediaire,,,,,,,,
131,Refuser,Houn-yo,Hou-yo,verbes,intermediaire,,,,,,,,
132,Accepter,Toûyo,Toûyo,verbes,intermediaire,,,,,,,,
133,Voler,Fatakariyo,Fatakariyo,verbes,intermediaire,,,,,,,,
134,Guérir,Bàabuyo,Baabouyo,verbes,intermediaire,,,,,,,,
135,Sortir,Hunuyo,Hounouyo,verbes,intermediaire,,,,,,,,
136,Entrer,Wuroyo,Wourouyo,verbes,intermediaire,,,,,,,,
137,Demander,ŋwaareyo,n'waareyo,verbes,intermediaire,,,,,,,,
138,Mentir,Tangariyô,Tangariyo,verbes,intermediaire,,,,,,,,
139,Vouloir,Bâayo,Baayo,verbes,intermediaire,,,,,,,,
140,Voir,Díayo,Diayo,verbes,intermediaire,,,,,,,,
141,Dedans,À kuna,A kouna,prepositions,intermediaire,,,,,,,,
142,Au dessus,À boŋò,A bonhondo,prepositions,intermediaire,,,,,,,,
143,En dessous,À gânan,A gânan,prepositions,intermediaire,,,,,,,,
144,Sur,À ga,A ga,prepositions,intermediaire,,,,,,,,
145,Devant,Moojinè,Moojine,prepositions,intermediaire,,,,,,,,
146,Derrière,Banna,Banna,prepositions,intermediaire,,,,,,,,
147,À côté,À jerε,A jere,prepositions,intermediaire,,,,,,,,
148,Au milieu,Binni,Binni,prepositions,intermediaire,,,,,,,,
149,En haut,Boŋò,Bongo,prepositions,intermediaire,,,,,,,,
150,En bas,Gannà,Ganna,prepositions,intermediaire,,,,,,,,
151,À gauche,Kamme-wo,Kamme-wo,prepositions,intermediaire,,,,,,,,
152,Au centre,Binni,Binni,prepositions,intermediaire,,,,,,,,
153,À droite,Kamme-gumô,Kamme-goumô,prepositions,intermediaire,,,,,,,,
154,Entrer dans,Huro kuna,Houro kouna,prepositions,intermediaire,,,,,,,,
155,Sortir de,Hunu kuna,Hounou kouna,prepositions,intermediaire,,,,,,,,
156,S'approcher de,Màanìyo nna,Maaniyo nna,prepositions,intermediaire,,,,,,,,
157,S'éloigner de,Wayo nna,Wayo nna,prepositions,intermediaire,,,,,,,,
158,Traverser,Dàarìyo,Daariyo,prepositions,intermediaire,,,,,,,,
159,Contourner,Koòliyo,Kooliyo,prepositions,intermediaire,,,,,,,,
160,Maison,Fúu,Fou,noms,avance,,,,,,,,
161,Chaise,Kitâ,Kita,noms,avance,,,,,,,,
162,Porte,Gàmmu,Ganmou,noms,avance,,,,,,,,
163,Fenêtre,Togolo,Togolo,noms,avance,,,,,,,,
164,Lit,Kânido,Kânido,noms,avance,,,,,,,,
165,Brousse,Subù,Soubu,noms,avance,,,,,,,,
166,Voiture,Loole/Hii,Loole/Hii,noms,avance,,,,,,,,
167,Moto,Kpòkpò,Kpokpo,noms,avance,,,,,,,,
168,Vélo,Guurubari/Guurubai,Gourubai,noms,avance,,,,,,,,
169,Ciel,Beînîn,Bèène,noms,avance,,,,,,,,
170,Vent,Heô/Hô,Héou/Ho,noms,avance,,,,,,,,
171,Déluge,Ciniji tonni,Tchinji tonni,noms,avance,,,,,,,,
172,Bouteille,Kpalbà,Kpalba,noms,avance,,,,,,,,
173,Vieillesse,Zèenin,Zèènin,noms,avance,,,,,,,,
174,Miel,Yùu,Youu,noms,avance,,,,,,,,
175,Sourd,Lùtù,Loutou,noms,avance,,,,,,,,
176,Fou,Hòllòkom,Hollokom,noms,avance,,,,,,,,
177,Niais,Hoota,Hoota,noms,avance,,,,,,,,
178,Sage,Laakalikpè,Laakalikpè,noms,avance,,,,,,,,
179,Intelligent,Coberekom,Tchiobèrèkom,noms,avance,,,,,,,,
180,Malade,Zayînkom,Zanyinkom,noms,avance,,,,,,,,
181,Pauvre,Talika,Talika,noms,avance,,,,,,,,
182,Riche,Noorukpe,Noorukpè,noms,avance,,,,,,,,
183,Méchant,Futékpe,Foutékpè,noms,avance,,,,,,,,
185,Patient,Suurukpe,Sourroukpè,noms,avance,,,,,,,,
187,Courageux,Himmakpe,Himmakpè,noms,avance,,,,,,,,
188,Noir,Íbi,Ibi,couleurs,debutant,,,,,,,,
189,Blanc,Íkpaare,Ikpaarè,couleurs,debutant,,,,,,,,
190,Rouge,Ícíre,Itsire,couleurs,debutant,,,,,,,,
191,Bleu,Íboogu,Ibougou,couleurs,debutant,,,,,,,,
192,Vert,Subùganyi,Soubouganyi,couleurs,debutant,,,,,,,,
193,Jaune,Ídosò,Idoso,couleurs,debutant,,,,,,,,
